year,local,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47
2010,강원고성군,42820,Goseong-gun,고성군,,,,,,,,,,,-8.83,"223,872","204,100","222,217","1,655","223,068","211,540","9,491","2,038",80.9,26.49,54.46,"51,557","106,006","194,664",378,"11,442",,,5,"11,123","220,810",14.3,"27,466","4,104",13.3,62.5,20.7,"30,112",한나라당,5th,황종국,무소속,44.21,윤승근,한나라당,43.09
2011,강원고성군,42820,Goseong-gun,고성군,,,,,,,,,,,-4.35,"223,195","213,482","221,106","2,089","231,963","216,967","12,871","2,125",79.6,25.53,54.1,"51,354","108,842","201,189",381,"11,464",,,5.7,"12,396","217,842",14.7,"28,034","3,983",13.8,62,21.4,"30,057",한나라당,5th,황종국,무소속,44.21,윤승근,한나라당,43.09
2012,강원고성군,42820,Goseong-gun,고성군,,,,,,,,,,,-3.69,"260,482","250,875","258,602","1,880","247,270","230,506","14,875","1,890",79.7,20.35,59.34,"44,580","129,967","219,017",389,"11,693",,,5.1,"13,093","255,214",12.4,"29,159","2,424",9.8,54.6,21.9,"30,124",한나라당,5th,황종국,무소속,44.21,윤승근,한나라당,43.09
2013,강원고성군,42820,Goseong-gun,고성군,,,,,,,,,,,-7.76,"270,048","249,088","268,152","1,896","268,529","243,785","22,459","2,285",79,21.07,57.97,"48,150","132,468","228,523",409,"12,317",,,5.8,"15,417","264,655",13.3,"32,443","2,745",11.8,58.5,22.2,"30,398",한나라당,5th,황종국,무소속,44.21,윤승근,한나라당,43.09
2014,강원고성군,42820,Goseong-gun,고성군,,,,,,,,,,,-6.69,"280,148","261,398","277,938","2,210","265,756","242,178","20,502","3,077",76,21.7,54.3,"52,399","131,147","241,520",370,"11,252",,,5.6,"15,483","276,664",14.3,"36,554","3,055",8,55.9,22.8,"30,269",새누리당,6th,윤승근,새누리당,41.65,함형완,무소속,17.99
2015,강원고성군,42820,Goseong-gun,고성군,"9,728","24,428",0,0,"14,700","1,718,788","1,717,444","4,983",0,"3,639",-7.76,"277,226","255,715","276,228",998,"273,953","253,342","17,548","3,062",77.4,21.85,55.53,"54,292","138,019","248,531",372,"11,256",,,4.5,"12,488","277,595",17,"42,911","4,180",7.8,56,23.3,"30,060",새누리당,6th,윤승근,새누리당,41.65,함형완,무소속,17.99
2016,강원고성군,42820,Goseong-gun,고성군,"22,811","22,811",0,0,0,"1,815,354","1,810,133","5,221",0,0,11.85,"272,330","304,591","270,798","1,531","292,134","278,198","9,636","4,300",82.5,18.72,63.73,"49,657","169,009","265,203",397,"11,936",,,4.6,"14,229","309,788",15,"41,539","5,040",9.2,52.7,23.7,"30,114",새누리당,6th,윤승근,새누리당,41.65,함형완,무소속,17.99
2017,강원고성군,42820,Goseong-gun,고성군,"9,173","9,173",0,0,0,"1,869,660","1,864,130","5,530",0,0,2.55,"298,216","305,817","282,653","15,563","309,775","295,353","7,685","6,737",81.8,23.95,57.87,"61,634","148,918","257,339",406,"12,215",,,4.8,"15,281","321,099",15.1,"43,431","4,988",9.1,56.5,24.3,"30,029",새정치민주연합,6th,윤승근,새누리당,41.65,함형완,무소속,17.99
2018,강원고성군,42820,Goseong-gun,고성군,"12,386","12,386",0,0,0,"1,942,210","1,936,296","5,914",0,0,11.71,"288,796","322,612","288,340",456,"298,825","283,753","9,365","5,708",81.9,26.96,54.98,"75,066","153,116","278,473",425,"12,768",,,4.5,"14,772","329,786",15.9,"48,042","4,542",8.9,57.5,26.4,"28,144",더불어민주당,7th,이경일,더불어민주당,48.91,윤승근,자유한국당,40.26
2019,강원고성군,42820,Goseong-gun,고성군,"16,931","16,931",0,0,0,"1,880,287","1,874,036","6,251",0,0,5.94,"408,882","433,162","408,897",-15,"438,983","423,060","9,575","6,348",79.9,24.53,55.38,"69,066","155,955","281,607",497,"13,995",,,7.5,"33,714","446,627",16.2,"65,847","6,515",9.4,57.5,28.1,"27,260",더불어민주당,7th,이경일,더불어민주당,48.91,윤승근,자유한국당,40.26
2020,강원고성군,42820,Goseong-gun,고성군,"18,825","18,825",0,0,0,"1,913,562","1,906,725","6,838",0,0,-6.6,"418,100","390,504","418,117",-17,"434,508","406,233","22,038","6,237",82,21.84,60.13,"72,752","200,323","333,150",553,"15,076",,,5,"21,300","426,076",18.6,"74,092","4,949",8.6,59,29.7,"26,757",더불어민주당,7th,이경일,더불어민주당,48.91,윤승근,자유한국당,40.26
2021,강원고성군,42820,Goseong-gun,고성군,"29,727","29,422",305,0,0,"1,983,373","1,975,247","8,126",0,0,-1.54,"427,622","421,054","427,682",-60,"455,551","421,250","27,810","6,491",81.3,18.83,62.47,"65,875","218,552","349,869",589,"15,761",,,3.9,"440,985","17,402",17.8,"72,091","6,337",8.1,54.6,30.2,"27,249",더불어민주당,7th,이경일,더불어민주당,48.91,윤승근,자유한국당,40.26
2022,강원고성군,42820,Goseong-gun,고성군,,,,,,,,,,,,,,,,,,,,81.9,22.28,59.6,"85,375","228,425","383,244",613,"16,713",,,,,,,,,7.8,59.9,31.2,"27,274",국민의힘,8th,함명준,더불어민주당,56.05,홍남기,국민의힘,43.94
2003,강원동해시,42170,Donghae-si,동해시,,,,,,,,,,,,,,,,"256,313","239,708","11,725","4,880",65.5,11.54,53.96,"18,628","87,119","161,444",218,"22,410",,,,,,,,,23,61.5,8.9,"101,764",새천년민주당,3rd,김진동,한나라당,28.65,전익찬,무소속,22.01
2004,강원동해시,42170,Donghae-si,동해시,,,,,,,,,,,,,,,,"225,341","209,752","10,350","5,239",67.7,18.77,48.94,"33,293","86,801","177,375",225,"22,948",,,,,,,,,21.6,71.1,9.5,"100,727",새천년민주당,3rd,김진동,한나라당,28.65,전익찬,무소속,22.01
2005,강원동해시,42170,Donghae-si,동해시,,,,,,,,,,,,,,,,"229,931","216,191","9,976","3,763",66.1,22.03,44.11,"40,390","80,893","183,382",256,"25,824",,,,,,,,,21.9,65.8,10.1,"99,230",새천년민주당,3rd,김진동,한나라당,28.65,전익찬,무소속,22.01
2006,강원동해시,42170,Donghae-si,동해시,,,,,,,,,,,,,,,,"208,527","194,615","10,275","3,637",65.6,21.26,44.34,"41,304","86,129","194,238",251,"24,933",,,,,,,,,21.2,72.2,10.7,"97,497",열린우리당,4th,김학기,한나라당,39.39,김진모,무소속,33.29
2007,강원동해시,42170,Donghae-si,동해시,,,,,,,,,,,,,,,,"224,414","224,414","224,414","224,414",64.1,25.78,38.35,"52,341","77,867","203,055",264,"25,746",,,,,,,,,21.2,71.6,11.5,"96,652",열린우리당,4th,김학기,한나라당,39.39,김진모,무소속,33.29
2008,강원동해시,42170,Donghae-si,동해시,,,,,,,,,,,,,,,,"243,470","225,168","11,816","6,485",73.7,31.46,42.29,"68,018","91,435","216,211",300,"29,014",,,7.7,"18,642","240,719",22.6,"51,490","2,797",22,71,12.1,"95,652",한나라당,4th,김학기,한나라당,39.39,김진모,무소속,33.29
2009,강원동해시,42170,Donghae-si,동해시,,,,,,,,,,,-3.62,"279,437","269,322","278,835",602,"307,553","289,603","10,940","7,010",76.6,28.3,48.35,"73,787","126,065","260,741",320,"30,594",,,5.7,"15,807","275,241",24.4,"64,097","3,142",17.6,65.9,12.7,"95,271",한나라당,4th,김학기,한나라당,39.39,김진모,무소속,33.29
2010,강원동해시,42170,Donghae-si,동해시,,,,,,,,,,,0.05,"250,238","250,366","264,892","-14,655","267,851","248,458","12,250","7,142",73.9,33.87,40.04,"84,328","99,701","248,993",343,"32,637",,,6.2,"15,937","258,148",24.2,"57,566","4,979",18.5,66.4,13.2,"95,236",한나라당,5th,김학기,한나라당,42.8,전억찬,무소속,35.32
2011,강원동해시,42170,Donghae-si,동해시,,,,,,,,,,,-0.69,"263,303","261,475","262,961",342,"263,062","244,563","9,816","8,683",73.7,31.1,42.63,"75,937","104,083","244,134",319,"30,348",,,7.1,"18,168","255,074",25.6,"59,493","5,706",17.8,67.8,13.6,"95,804",한나라당,5th,김학기,한나라당,42.8,전억찬,무소속,35.32
2012,강원동해시,42170,Donghae-si,동해시,,,,,,,,,,,-3.42,"264,724","255,680","264,383",341,"277,280","254,702","14,020","8,557",74.2,27.17,47.05,"68,007","117,743","250,257",316,"30,315",,,8.8,"22,400","254,930",26.2,"62,259","4,538",17.5,67.1,14.2,"93,897",한나라당,5th,김학기,한나라당,42.8,전억찬,무소속,35.32
2013,강원동해시,42170,Donghae-si,동해시,,,,,,,,,,,-1.14,"288,406","285,124","288,259",146,"298,711","276,040","11,595","11,076",73.2,22.31,50.86,"57,677","131,504","258,582",330,"30,982",,,11.3,"32,405","287,402",26.3,"69,161","6,362",17.5,65.6,14.7,"95,143",한나라당,5th,김학기,한나라당,42.8,전억찬,무소속,35.32
2014,강원동해시,42170,Donghae-si,동해시,,,,,,,,,,,-1.34,"294,615","290,669","294,469",146,"293,809","260,783","12,007","21,019",71.7,20.79,50.95,"51,173","125,435","246,174",341,"32,436",,,10.8,"28,724","265,907",33.1,"77,401","10,498",19.5,67.8,15.3,"94,562",새누리당,6th,심규언,새누리당,47.52,김원오,무소속,20.6
2015,강원동해시,42170,Donghae-si,동해시,"36,727","51,722",67,0,"15,061","2,252,525","2,252,519",610,0,605,-2.92,"313,199","304,051","313,053",146,"301,240","262,400","13,998","24,842",72.8,24.92,47.92,"63,164","121,477","253,496",355,"33,593",,,10.5,"28,990","277,141",35.2,"89,413","8,144",19.5,65.9,15.9,"93,895",새누리당,6th,심규언,새누리당,47.52,김원오,무소속,20.6
2016,강원동해시,42170,Donghae-si,동해시,"33,891","33,536",355,0,0,"2,422,983","2,422,397","1,130",0,543,4.11,"312,974","325,829","303,352","9,622","329,371","291,603","31,306","6,463",75.6,25.44,50.14,"69,067","136,125","271,478",390,"36,646",,,11.2,"35,816","319,580",31.6,"94,562","6,509",19.5,64.6,16.2,"93,297",새누리당,6th,심규언,새누리당,47.52,김원오,무소속,20.6
2017,강원동해시,42170,Donghae-si,동해시,"25,600","24,881",718,0,0,"2,464,398","2,463,307","1,634",0,543,8.6,"322,167","349,877","321,501",666,"349,262","315,817","27,146","6,298",75.9,27.18,48.67,"76,582","137,147","281,763",422,"39,380",,,9.7,"33,594","347,746",32.4,"102,210","10,508",20.2,65.7,17.1,"92,851",새정치민주연합,6th,심규언,새누리당,47.52,김원오,무소속,20.6
2018,강원동해시,42170,Donghae-si,동해시,"18,275","17,470",804,0,0,"2,510,112","2,508,721","1,934",0,543,6.67,"353,345","376,916","348,537","4,808","369,332","334,347","28,909","6,076",78.5,28.66,49.85,"89,427","155,519","312,000",454,"42,140",,,9.6,"34,193","357,107",33.6,"113,412","6,421",19.6,63,18.1,"91,272",더불어민주당,7th,심규언,무소속,42.71,안승호,더불어민주당,32.25
2019,강원동해시,42170,Donghae-si,동해시,"17,532","17,169",363,0,0,"2,608,474","2,607,423","1,595",0,543,12.36,"440,099","494,492","440,122",-23,"452,946","404,115","32,918","15,913",80.7,22.76,57.93,"76,218","193,982","334,827",483,"44,050",,,5.6,"27,495","488,535",30.9,"143,928","6,889",18.6,60.8,19.2,"90,522",더불어민주당,7th,심규언,무소속,42.71,안승호,더불어민주당,32.25
2020,강원동해시,42170,Donghae-si,동해시,"16,261","15,874",387,0,0,"2,626,315","2,625,416","1,443",0,543,-6.29,"515,868","483,402","515,865",3,"529,590","478,016","33,214","18,360",83.5,24.53,59.02,"98,126","236,068","400,000",513,"46,478",,,5.1,"24,189","476,300",37.9,"173,627","7,104",16.7,57.7,20.2,"90,593",더불어민주당,7th,심규언,무소속,42.71,안승호,더불어민주당,32.25
2021,강원동해시,42170,Donghae-si,동해시,"20,151","19,406",745,0,0,"2,671,057","2,669,322","2,278",0,543,-3.36,"532,415","514,512","532,450",-35,"546,984","499,573","40,719","6,691",83.2,22.52,60.64,"90,297","243,150","401,000",525,"47,599",,,4.7,"483,583","22,719",39.4,"182,500","8,080",17.3,57.7,21.1,"90,081",더불어민주당,7th,심규언,무소속,42.71,안승호,더불어민주당,32.25
2022,강원동해시,42170,Donghae-si,동해시,,,,,,,,,,,,,,,,,,,,82.5,25.14,57.4,"113,042","258,136","449,705",544,"49,034",,,,,,,,,16.6,61.2,22.3,"89,426",국민의힘,8th,심규언,국민의힘,57.09,최석찬,더불어민주당,24.98
2003,강원삼척시,42230,Samcheok-si,삼척시,,,,,,,,,,,,,,,,"455,800","446,515","6,322","2,963",67.3,6.6,60.71,"13,072","120,273","198,119",184,"14,241",,,,,,,,,13.7,65.5,13.4,"75,759",새천년민주당,3rd,김일동,한나라당,56.63,이영대,새천년민주당,37.16
2004,강원삼척시,42230,Samcheok-si,삼척시,,,,,,,,,,,,,,,,"479,323","468,087","7,731","3,506",72.2,12.83,59.36,"29,225","135,196","227,756",206,"15,605",,,,,,,,,12.3,61.9,14.2,"74,301",새천년민주당,3rd,김일동,한나라당,56.63,이영대,새천년민주당,37.16
2005,강원삼척시,42230,Samcheok-si,삼척시,,,,,,,,,,,,,,,,"315,833","304,752","7,581","3,501",71.2,22.17,49.04,"51,732","114,460","233,380",224,"16,636",,,,,,,,,13.9,60.5,15,"73,134",새천년민주당,3rd,김일동,한나라당,56.63,이영대,새천년민주당,37.16
2006,강원삼척시,42230,Samcheok-si,삼척시,,,,,,,,,,,,,,,,"283,572","272,863","7,251","3,457",65.4,22.44,42.91,"53,151","101,648","236,868",216,"15,830",,,,,,,,,13.4,63.8,15.7,"71,750",열린우리당,4th,김대수,한나라당,32.19,안호성,열린우리당,28.22
2007,강원삼척시,42230,Samcheok-si,삼척시,,,,,,,,,,,,,,,,"301,476","301,476","301,476","301,476",67.7,21.57,46.16,"51,848","110,966","240,376",222,"15,950",,,,,,,,,15,68.3,16.6,"70,791",열린우리당,4th,김대수,한나라당,32.19,안호성,열린우리당,28.22
2008,강원삼척시,42230,Samcheok-si,삼척시,,,,,,,,,,,,,,,,"336,135","322,419","8,169","5,548",79.1,31.33,47.8,"88,235","134,612","281,621",229,"16,222",,,6.3,"22,618","360,757",15.9,"50,310","6,879",16.2,65.7,17.1,"70,954",한나라당,4th,김대수,한나라당,32.19,안호성,열린우리당,28.22
2009,강원삼척시,42230,Samcheok-si,삼척시,,,,,,,,,,,-9.71,"377,076","340,461","393,174","-16,098","428,172","411,599","11,650","4,923",80.9,30.44,50.5,"99,425","164,942","326,628",230,"16,308",,,5.1,"19,540","385,237",16,"54,088","7,553",15.6,65.8,17.4,"71,935",한나라당,4th,김대수,한나라당,32.19,안호성,열린우리당,28.22
2010,강원삼척시,42230,Samcheok-si,삼척시,,,,,,,,,,,-4.33,"402,070","384,661","382,802","19,268","415,665","400,315","10,894","4,456",76.8,31.03,45.74,"110,722","163,186","356,767",243,"17,500",,,4.8,"18,988","393,998",15.7,"55,049","6,722",16.7,64.6,17.9,"72,046",한나라당,5th,김대수,무소속,54.64,안호성,한나라당,45.35
2011,강원삼척시,42230,Samcheok-si,삼척시,,,,,,,,,,,-4.13,"409,446","392,547","408,219","1,227","377,900","356,799","14,433","6,669",80.6,33.21,47.36,"113,489","161,824","341,721",241,"17,394",,,5.4,"20,642","383,686",16.5,"58,401","4,821",15.9,70.3,18.1,"72,312",한나라당,5th,김대수,무소속,54.64,안호성,한나라당,45.35
2012,강원삼척시,42230,Samcheok-si,삼척시,,,,,,,,,,,-4.47,"411,113","392,720","410,595",518,"410,725","383,080","13,867","13,778",80.9,32.87,47.99,"119,739","174,777","364,230",249,"17,985",,,5.5,"21,989","399,059",18.7,"66,939","7,540",16.2,71.3,18.6,"72,463",한나라당,5th,김대수,무소속,54.64,안호성,한나라당,45.35
2013,강원삼척시,42230,Samcheok-si,삼척시,,,,,,,,,,,-4.35,"488,941","467,690","487,990",951,"459,560","429,253","21,679","8,628",81.5,33.73,47.75,"133,944","189,599","397,099",252,"18,286",,,4.8,"22,711","473,210",17.4,"77,083","5,445",17.1,67.9,19.1,"73,023",한나라당,5th,김대수,무소속,54.64,안호성,한나라당,45.35
2014,강원삼척시,42230,Samcheok-si,삼척시,,,,,,,,,,,-4.43,"456,129","435,932","455,880",249,"446,677","406,807","22,207","17,664",81.2,34.43,46.73,"141,498","192,056","411,009",277,"20,252",,,4.4,"18,589","425,278",19.2,"76,460","5,186",17.3,69,19.7,"72,314",새누리당,6th,김양호,무소속,62.44,김대수,새누리당,37.55
2015,강원삼척시,42230,Samcheok-si,삼척시,"27,416","26,592",824,0,0,"2,898,172","2,861,038","102,783",0,"65,649",-8.94,"485,330","441,963","485,068",262,"454,728","415,671","21,377","17,680",81.1,32.48,48.62,"134,342","201,089","413,590",311,"22,469",,,4.1,"18,943","456,621",19.3,"81,540","6,591",15,64.7,20.5,"70,839",새누리당,6th,김양호,무소속,62.44,김대수,새누리당,37.55
2016,강원삼척시,42230,Samcheok-si,삼척시,"33,673","33,427",246,0,0,"3,056,031","2,954,791","101,240",0,0,-0.41,"466,213","464,285","466,244",-31,"497,734","457,667","14,411","25,656",80.1,30.37,49.75,"126,299","206,902","415,887",343,"24,278",,,4.7,"22,268","472,387",19.4,"85,518","6,249",15.8,65.4,21,"69,599",새누리당,6th,김양호,무소속,62.44,김대수,새누리당,37.55
2017,강원삼척시,42230,Samcheok-si,삼척시,"23,535","23,028",507,0,0,"3,124,927","3,085,366","105,210",0,"65,649",6.15,"519,942","551,900","519,995",-52,"553,144","522,682","15,719","14,742",79.8,34.87,44.95,"145,120","187,054","416,176",389,"27,078",,,7.5,"42,205","561,625",19.4,"99,896","9,098",15.3,68.7,22,"68,514",새정치민주연합,6th,김양호,무소속,62.44,김대수,새누리당,37.55
