year,local,ctp_eng_nm,CTP_KOR_NM,var,cat
2003,"경남","Gyeongsangnam-do","경상남도","","세입(A)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","지출(B)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","순융자(C)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","4,749,519","총계 세출결산(A+B+C)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","4,359,610","일반회계 세출결산(A)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","149,800","공기업특별회계 세출결산(B)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","240,108","기타특별회계 세출결산(C)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","70.3","정책사업비중((A+B)/C)"
2003,"경남","Gyeongsangnam-do","경상남도","10.46","자체사업비중(A/C)"
2003,"경남","Gyeongsangnam-do","경상남도","59.84","보조사업비중(B/C)"
2003,"경남","Gyeongsangnam-do","경상남도","260,729","자체사업(A)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","1,491,770","보조사업(B)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","2,493,085","일반회계예산(C)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","273","주민1인당 지방세부담액(천원)"
2003,"경남","Gyeongsangnam-do","경상남도","854,000","지방세액(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","57,189,320","명목GRDP(시도)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","68,827,444","실질GRDP(시도)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","일반회계중일반공공행정예산비중(A÷C×100)(%)"
2003,"경남","Gyeongsangnam-do","경상남도","","일반공공행정분야예산액(A)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","전체예산액(C)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","일반회계중사회복지예산비중{(D+E)÷C×100}(%)"
2003,"경남","Gyeongsangnam-do","경상남도","","사회복지분야예산액(D)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","","보건분야예산액(E)(백만원)"
2003,"경남","Gyeongsangnam-do","경상남도","37.2","재정자립도(%)"
2003,"경남","Gyeongsangnam-do","경상남도","80.2","재정자주도(%)"
2003,"경남","Gyeongsangnam-do","경상남도","9.5","고령인구비율(%)"
2003,"경남","Gyeongsangnam-do","경상남도","3,139,017","인구(명)"
2003,"경남","Gyeongsangnam-do","경상남도","김혁규","당선자"
2003,"경남","Gyeongsangnam-do","경상남도","한나라당","당선자 정당"
2003,"경남","Gyeongsangnam-do","경상남도","74.5","당선자 득표율"
2003,"경남","Gyeongsangnam-do","경상남도","김두관","차선자"
2003,"경남","Gyeongsangnam-do","경상남도","새천년민주당","차선자 정당"
2003,"경남","Gyeongsangnam-do","경상남도","16.87999916","차선자 득표율"
2003,"경북","Gyeongsangbuk-do","경상북도","","통합부채현황(A+B+C+D)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","자치단체부채(A)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","지방공공기관부채(B)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","교육재정부채(C)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","내(외)부거래(D)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","통합자산현황(A+B+C+D)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","자치단체자산(A)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","지방공공기관자산(B)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","교육재정자산(C)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","내(외)부거래(D)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","통합재정수지비율((A-(B+C))/D)*100"
2003,"경북","Gyeongsangbuk-do","경상북도","","통합재정규모(D)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","세입(A)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","지출(B)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","순융자(C)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","3,508,680","총계 세출결산(A+B+C)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","3,094,338","일반회계 세출결산(A)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","182,237","공기업특별회계 세출결산(B)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","232,105","기타특별회계 세출결산(C)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","73","정책사업비중((A+B)/C)"
2003,"경북","Gyeongsangbuk-do","경상북도","8.01","자체사업비중(A/C)"
2003,"경북","Gyeongsangbuk-do","경상북도","64.97","보조사업비중(B/C)"
2003,"경북","Gyeongsangbuk-do","경상북도","159,942","자체사업(A)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","1,297,054","보조사업(B)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","1,996,300","일반회계예산(C)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","178","주민1인당 지방세부담액(천원)"
2003,"경북","Gyeongsangbuk-do","경상북도","490,000","지방세액(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","56,811,693","명목GRDP(시도)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","65,372,870","실질GRDP(시도)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","일반회계중일반공공행정예산비중(A÷C×100)(%)"
2003,"경북","Gyeongsangbuk-do","경상북도","","일반공공행정분야예산액(A)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","전체예산액(C)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","일반회계중사회복지예산비중{(D+E)÷C×100}(%)"
2003,"경북","Gyeongsangbuk-do","경상북도","","사회복지분야예산액(D)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","","보건분야예산액(E)(백만원)"
2003,"경북","Gyeongsangbuk-do","경상북도","29.2","재정자립도(%)"
2003,"경북","Gyeongsangbuk-do","경상북도","81.8","재정자주도(%)"
2003,"경북","Gyeongsangbuk-do","경상북도","12.3","고령인구비율(%)"
2003,"경북","Gyeongsangbuk-do","경상북도","2,720,832","인구(명)"
2003,"경북","Gyeongsangbuk-do","경상북도","이의근","당선자"
2003,"경북","Gyeongsangbuk-do","경상북도","한나라당","당선자 정당"
2003,"경북","Gyeongsangbuk-do","경상북도","85.48999786","당선자 득표율"
2003,"경북","Gyeongsangbuk-do","경상북도","조영건","차선자"
2003,"경북","Gyeongsangbuk-do","경상북도","무소속","차선자 정당"
2003,"경북","Gyeongsangbuk-do","경상북도","14.5","차선자 득표율"
2003,"광주","Gwangju","광주광역시","","통합부채현황(A+B+C+D)(백만원)"
2003,"광주","Gwangju","광주광역시","","자치단체부채(A)(백만원)"
2003,"광주","Gwangju","광주광역시","","지방공공기관부채(B)(백만원)"
2003,"광주","Gwangju","광주광역시","","교육재정부채(C)(백만원)"
2003,"광주","Gwangju","광주광역시","","내(외)부거래(D)(백만원)"
2003,"광주","Gwangju","광주광역시","","통합자산현황(A+B+C+D)(백만원)"
2003,"광주","Gwangju","광주광역시","","자치단체자산(A)(백만원)"
2003,"광주","Gwangju","광주광역시","","지방공공기관자산(B)(백만원)"
2003,"광주","Gwangju","광주광역시","","교육재정자산(C)(백만원)"
2003,"광주","Gwangju","광주광역시","","내(외)부거래(D)(백만원)"
2003,"광주","Gwangju","광주광역시","","통합재정수지비율((A-(B+C))/D)*100"
2003,"광주","Gwangju","광주광역시","","통합재정규모(D)(백만원)"
2003,"광주","Gwangju","광주광역시","","세입(A)(백만원)"
2003,"광주","Gwangju","광주광역시","","지출(B)(백만원)"
2003,"광주","Gwangju","광주광역시","","순융자(C)(백만원)"
2003,"광주","Gwangju","광주광역시","2,004,631","총계 세출결산(A+B+C)(백만원)"
2003,"광주","Gwangju","광주광역시","1,267,577","일반회계 세출결산(A)(백만원)"
2003,"광주","Gwangju","광주광역시","173,202","공기업특별회계 세출결산(B)(백만원)"
2003,"광주","Gwangju","광주광역시","563,852","기타특별회계 세출결산(C)(백만원)"
2003,"광주","Gwangju","광주광역시","42.7","정책사업비중((A+B)/C)"
2003,"광주","Gwangju","광주광역시","9.24","자체사업비중(A/C)"
2003,"광주","Gwangju","광주광역시","33.5","보조사업비중(B/C)"
2003,"광주","Gwangju","광주광역시","102,448","자체사업(A)(백만원)"
2003,"광주","Gwangju","광주광역시","371,312","보조사업(B)(백만원)"
2003,"광주","Gwangju","광주광역시","1,108,497","일반회계예산(C)(백만원)"
2003,"광주","Gwangju","광주광역시","407","주민1인당 지방세부담액(천원)"
2003,"광주","Gwangju","광주광역시","568,275","지방세액(백만원)"
2003,"광주","Gwangju","광주광역시","17,281,413","명목GRDP(시도)(백만원)"
2003,"광주","Gwangju","광주광역시","22,585,186","실질GRDP(시도)(백만원)"
2003,"광주","Gwangju","광주광역시","","일반회계중일반공공행정예산비중(A÷C×100)(%)"
2003,"광주","Gwangju","광주광역시","","일반공공행정분야예산액(A)(백만원)"
2003,"광주","Gwangju","광주광역시","","전체예산액(C)(백만원)"
2003,"광주","Gwangju","광주광역시","","일반회계중사회복지예산비중{(D+E)÷C×100}(%)"
2003,"광주","Gwangju","광주광역시","","사회복지분야예산액(D)(백만원)"
2003,"광주","Gwangju","광주광역시","","보건분야예산액(E)(백만원)"
2003,"광주","Gwangju","광주광역시","63","재정자립도(%)"
2003,"광주","Gwangju","광주광역시","78.1","재정자주도(%)"
2003,"광주","Gwangju","광주광역시","6.4","고령인구비율(%)"
2003,"광주","Gwangju","광주광역시","1,395,762","인구(명)"
2003,"광주","Gwangju","광주광역시","박광태","당선자"
2003,"광주","Gwangju","광주광역시","새천년민주당","당선자 정당"
2003,"광주","Gwangju","광주광역시","46.81000137","당선자 득표율"
2003,"광주","Gwangju","광주광역시","정동년","차선자"
2003,"광주","Gwangju","광주광역시","무소속","차선자 정당"
2003,"광주","Gwangju","광주광역시","27.04000092","차선자 득표율"
2003,"대구","Daegu","대구광역시","","통합부채현황(A+B+C+D)(백만원)"
2003,"대구","Daegu","대구광역시","","자치단체부채(A)(백만원)"
2003,"대구","Daegu","대구광역시","","지방공공기관부채(B)(백만원)"
2003,"대구","Daegu","대구광역시","","교육재정부채(C)(백만원)"
2003,"대구","Daegu","대구광역시","","내(외)부거래(D)(백만원)"
2003,"대구","Daegu","대구광역시","","통합자산현황(A+B+C+D)(백만원)"
2003,"대구","Daegu","대구광역시","","자치단체자산(A)(백만원)"
2003,"대구","Daegu","대구광역시","","지방공공기관자산(B)(백만원)"
2003,"대구","Daegu","대구광역시","","교육재정자산(C)(백만원)"
2003,"대구","Daegu","대구광역시","","내(외)부거래(D)(백만원)"
2003,"대구","Daegu","대구광역시","","통합재정수지비율((A-(B+C))/D)*100"
2003,"대구","Daegu","대구광역시","","통합재정규모(D)(백만원)"
2003,"대구","Daegu","대구광역시","","세입(A)(백만원)"
2003,"대구","Daegu","대구광역시","","지출(B)(백만원)"
2003,"대구","Daegu","대구광역시","","순융자(C)(백만원)"
2003,"대구","Daegu","대구광역시","3,021,446","총계 세출결산(A+B+C)(백만원)"
2003,"대구","Daegu","대구광역시","1,909,619","일반회계 세출결산(A)(백만원)"
2003,"대구","Daegu","대구광역시","307,075","공기업특별회계 세출결산(B)(백만원)"
2003,"대구","Daegu","대구광역시","804,752","기타특별회계 세출결산(C)(백만원)"
2003,"대구","Daegu","대구광역시","33","정책사업비중((A+B)/C)"
2003,"대구","Daegu","대구광역시","9.79","자체사업비중(A/C)"
2003,"대구","Daegu","대구광역시","23.23","보조사업비중(B/C)"
2003,"대구","Daegu","대구광역시","158,729","자체사업(A)(백만원)"
2003,"대구","Daegu","대구광역시","376,413","보조사업(B)(백만원)"
2003,"대구","Daegu","대구광역시","1,620,700","일반회계예산(C)(백만원)"
2003,"대구","Daegu","대구광역시","432","주민1인당 지방세부담액(천원)"
2003,"대구","Daegu","대구광역시","1,090,773","지방세액(백만원)"
2003,"대구","Daegu","대구광역시","28,643,337","명목GRDP(시도)(백만원)"
2003,"대구","Daegu","대구광역시","36,396,595","실질GRDP(시도)(백만원)"
2003,"대구","Daegu","대구광역시","","일반회계중일반공공행정예산비중(A÷C×100)(%)"
2003,"대구","Daegu","대구광역시","","일반공공행정분야예산액(A)(백만원)"
2003,"대구","Daegu","대구광역시","","전체예산액(C)(백만원)"
2003,"대구","Daegu","대구광역시","","일반회계중사회복지예산비중{(D+E)÷C×100}(%)"
2003,"대구","Daegu","대구광역시","","사회복지분야예산액(D)(백만원)"
2003,"대구","Daegu","대구광역시","","보건분야예산액(E)(백만원)"
2003,"대구","Daegu","대구광역시","76.4","재정자립도(%)"
2003,"대구","Daegu","대구광역시","87.9","재정자주도(%)"
2003,"대구","Daegu","대구광역시","6.9","고령인구비율(%)"
2003,"대구","Daegu","대구광역시","2,529,544","인구(명)"
2003,"대구","Daegu","대구광역시","조해녕","당선자"
2003,"대구","Daegu","대구광역시","한나라당","당선자 정당"
2003,"대구","Daegu","대구광역시","61.18000031","당선자 득표율"
2003,"대구","Daegu","대구광역시","이재용","차선자"
2003,"대구","Daegu","대구광역시","무소속","차선자 정당"
2003,"대구","Daegu","대구광역시","38.81000137","차선자 득표율"
2003,"대전","Daejeon","대전광역시","","통합부채현황(A+B+C+D)(백만원)"
2003,"대전","Daejeon","대전광역시","","자치단체부채(A)(백만원)"
2003,"대전","Daejeon","대전광역시","","지방공공기관부채(B)(백만원)"
2003,"대전","Daejeon","대전광역시","","교육재정부채(C)(백만원)"
2003,"대전","Daejeon","대전광역시","","내(외)부거래(D)(백만원)"
2003,"대전","Daejeon","대전광역시","","통합자산현황(A+B+C+D)(백만원)"
2003,"대전","Daejeon","대전광역시","","자치단체자산(A)(백만원)"
2003,"대전","Daejeon","대전광역시","","지방공공기관자산(B)(백만원)"
2003,"대전","Daejeon","대전광역시","","교육재정자산(C)(백만원)"
2003,"대전","Daejeon","대전광역시","","내(외)부거래(D)(백만원)"
2003,"대전","Daejeon","대전광역시","","통합재정수지비율((A-(B+C))/D)*100"
2003,"대전","Daejeon","대전광역시","","통합재정규모(D)(백만원)"
2003,"대전","Daejeon","대전광역시","","세입(A)(백만원)"
2003,"대전","Daejeon","대전광역시","","지출(B)(백만원)"
2003,"대전","Daejeon","대전광역시","","순융자(C)(백만원)"
2003,"대전","Daejeon","대전광역시","1,797,353","총계 세출결산(A+B+C)(백만원)"
2003,"대전","Daejeon","대전광역시","1,274,352","일반회계 세출결산(A)(백만원)"
2003,"대전","Daejeon","대전광역시","154,259","공기업특별회계 세출결산(B)(백만원)"
2003,"대전","Daejeon","대전광역시","368,742","기타특별회계 세출결산(C)(백만원)"
2003,"대전","Daejeon","대전광역시","42.2","정책사업비중((A+B)/C)"
2003,"대전","Daejeon","대전광역시","9.24","자체사업비중(A/C)"
2003,"대전","Daejeon","대전광역시","32.94","보조사업비중(B/C)"
2003,"대전","Daejeon","대전광역시","94,376","자체사업(A)(백만원)"
2003,"대전","Daejeon","대전광역시","336,444","보조사업(B)(백만원)"
2003,"대전","Daejeon","대전광역시","1,021,439","일반회계예산(C)(백만원)"
2003,"대전","Daejeon","대전광역시","472","주민1인당 지방세부담액(천원)"
2003,"대전","Daejeon","대전광역시","669,827","지방세액(백만원)"
2003,"대전","Daejeon","대전광역시","19,968,379","명목GRDP(시도)(백만원)"
2003,"대전","Daejeon","대전광역시","26,757,005","실질GRDP(시도)(백만원)"
2003,"대전","Daejeon","대전광역시","","일반회계중일반공공행정예산비중(A÷C×100)(%)"
2003,"대전","Daejeon","대전광역시","","일반공공행정분야예산액(A)(백만원)"
2003,"대전","Daejeon","대전광역시","","전체예산액(C)(백만원)"
2003,"대전","Daejeon","대전광역시","","일반회계중사회복지예산비중{(D+E)÷C×100}(%)"
2003,"대전","Daejeon","대전광역시","","사회복지분야예산액(D)(백만원)"
2003,"대전","Daejeon","대전광역시","","보건분야예산액(E)(백만원)"
2003,"대전","Daejeon","대전광역시","73.6","재정자립도(%)"
2003,"대전","Daejeon","대전광역시","85.3","재정자주도(%)"
2003,"대전","Daejeon","대전광역시","6.3","고령인구비율(%)"
2003,"대전","Daejeon","대전광역시","1,432,296","인구(명)"
2003,"대전","Daejeon","대전광역시","염홍철","당선자"
2003,"대전","Daejeon","대전광역시","한나라당","당선자 정당"
2003,"대전","Daejeon","대전광역시","46.61000061","당선자 득표율"
2003,"대전","Daejeon","대전광역시","홍선기","차선자"
2003,"대전","Daejeon","대전광역시","자민련","차선자 정당"
2003,"대전","Daejeon","대전광역시","40.20000076","차선자 득표율"
2003,"부산","Busan","부산광역시","","통합부채현황(A+B+C+D)(백만원)"
2003,"부산","Busan","부산광역시","","자치단체부채(A)(백만원)"
2003,"부산","Busan","부산광역시","","지방공공기관부채(B)(백만원)"
2003,"부산","Busan","부산광역시","","교육재정부채(C)(백만원)"
2003,"부산","Busan","부산광역시","","내(외)부거래(D)(백만원)"
2003,"부산","Busan","부산광역시","","통합자산현황(A+B+C+D)(백만원)"
2003,"부산","Busan","부산광역시","","자치단체자산(A)(백만원)"
2003,"부산","Busan","부산광역시","","지방공공기관자산(B)(백만원)"
2003,"부산","Busan","부산광역시","","교육재정자산(C)(백만원)"
2003,"부산","Busan","부산광역시","","내(외)부거래(D)(백만원)"
2003,"부산","Busan","부산광역시","","통합재정수지비율((A-(B+C))/D)*100"
2003,"부산","Busan","부산광역시","","통합재정규모(D)(백만원)"
2003,"부산","Busan","부산광역시","","세입(A)(백만원)"
2003,"부산","Busan","부산광역시","","지출(B)(백만원)"
2003,"부산","Busan","부산광역시","","순융자(C)(백만원)"
2003,"부산","Busan","부산광역시","4,471,155","총계 세출결산(A+B+C)(백만원)"
2003,"부산","Busan","부산광역시","3,081,212","일반회계 세출결산(A)(백만원)"
2003,"부산","Busan","부산광역시","536,179","공기업특별회계 세출결산(B)(백만원)"
2003,"부산","Busan","부산광역시","853,763","기타특별회계 세출결산(C)(백만원)"
2003,"부산","Busan","부산광역시","37.5","정책사업비중((A+B)/C)"
2003,"부산","Busan","부산광역시","12.49","자체사업비중(A/C)"
2003,"부산","Busan","부산광역시","25.03","보조사업비중(B/C)"
2003,"부산","Busan","부산광역시","331,519","자체사업(A)(백만원)"
2003,"부산","Busan","부산광역시","664,267","보조사업(B)(백만원)"
2003,"부산","Busan","부산광역시","2,653,464","일반회계예산(C)(백만원)"
2003,"부산","Busan","부산광역시","456","주민1인당 지방세부담액(천원)"
2003,"부산","Busan","부산광역시","1,701,397","지방세액(백만원)"
2003,"부산","Busan","부산광역시","47,878,610","명목GRDP(시도)(백만원)"
2003,"부산","Busan","부산광역시","59,924,431","실질GRDP(시도)(백만원)"
2003,"부산","Busan","부산광역시","","일반회계중일반공공행정예산비중(A÷C×100)(%)"
2003,"부산","Busan","부산광역시","","일반공공행정분야예산액(A)(백만원)"
2003,"부산","Busan","부산광역시","","전체예산액(C)(백만원)"
2003,"부산","Busan","부산광역시","","일반회계중사회복지예산비중{(D+E)÷C×100}(%)"
2003,"부산","Busan","부산광역시","","사회복지분야예산액(D)(백만원)"
2003,"부산","Busan","부산광역시","","보건분야예산액(E)(백만원)"
2003,"부산","Busan","부산광역시","74.9","재정자립도(%)"
2003,"부산","Busan","부산광역시","83.2","재정자주도(%)"
2003,"부산","Busan","부산광역시","7.3","고령인구비율(%)"
2003,"부산","Busan","부산광역시","3,691,445","인구(명)"
2003,"부산","Busan","부산광역시","안상영","당선자"
2003,"부산","Busan","부산광역시","한나라당","당선자 정당"
2003,"부산","Busan","부산광역시","63.75999832","당선자 득표율"
2003,"부산","Busan","부산광역시","한이헌","차선자"
2003,"부산","Busan","부산광역시","새천년민주당","차선자 정당"
